0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/mainpage.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:08 +0900] "GET /Web_project29/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:09 +0900] "GET /Web_project29/recipe-ranking.jsp HTTP/1.1" 200 5547
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:09 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:09 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:26 +0900] "GET /Web_project29/login.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:26 +0900] "GET /Web_project29/login_signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:30 +0900] "POST /Web_project29/login-db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:30 +0900] "GET /Web_project29/mainpage.jsp HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:30 +0900] "GET /Web_project29/font.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2022:02:44:30 +0900] "GET /Web_project29/images/mainimage.png HTTP/1.1" 404 849
